Question,Answer,Weights
Default Response,I don't have enough information to answer you,0.5 0.5
I don't understand,I don't have enough information to answer you,0.380952380952 0.238095238095 0.380952380952
Thank you,Thank you for writing to me,0.663341645885 0.336658354115
Good Day,Good Day,0.414893617021 0.585106382979
Good afternoon,Good afternoon,0.282608695652 0.717391304348
Good night,Good night,0.440677966102 0.559322033898
Talk to you later,Good bye,0.367286693753 0.139315642458 0.126110970036 0.367286693753
good bye,Good bye,0.282608695652 0.717391304348
hi you,Hello how are you?,0.621495327103 0.378504672897
hi hello,Hello how are you?,0.357142857143 0.642857142857
very good thank you,Nice to hear that. Can I help you with something?,0.481060107852 0.131198211232 0.288636064711 0.0991056162041
good and you,"Also good, thank you. Can I help you with something?",0.296308084023 0.465626989179 0.238064926798
how are you,"Good, thank you. Can I help you with something?",0.353925109295 0.335867705759 0.310207184946
What is your name?,Mi name is Aichat. Nice to meet you.,0.201030927835 0.20673393288 0.20728229875 0.384952840535
My name is,Mi name is Aichat. Nice to meet you.,0.587755102041 0.257142857143 0.155102040816
who is this?,Mi name is Aichat. Nice to meet you.,0.290322580645 0.245161290323 0.464516129032
ok thanks,Ok.,0.666666666667 0.333333333333
yes thanks,Ok.,0.666666666667 0.333333333333
thanks,Thank you for writing to me,1.0
what is your favorite color?,It is Blue,0.1010652082 0.104611355856 0.104952331592 0.114895184059 0.574475920294
where are you from,From somewhere exotic,0.2555268079 0.214155800907 0.193022004765 0.337295386428
what do you do,I am a bot,0.249621729726 0.252095393035 0.246187484205 0.252095393035
how old are you,Less than 1 year old,0.145586625535 0.595581649915 0.136132948552 0.122698775998
What do you do for a living?,I am a bot,0.0977086696391 0.0993507161985 0.0954289774012 0.0993507161985 0.169982865996 0.135986292797 0.30219176177
What was that again?,Repeat the question please,0.112440191388 0.155502392344 0.193779904306 0.538277511962
Excuse me?,Repeat the question please,0.692307692308 0.307692307692
Pardon me?,Repeat the question please,0.692307692308 0.307692307692
how have you been?,"Good thanks, and you?",0.210443037975 0.210443037975 0.177359033372 0.401754890679
what have you been up to?,Not much and you?,0.108268946013 0.135336182516 0.106081180656 0.304506410661 0.223304701152 0.122502579002
The weather is great isnt it?,Yes it is,0.0539479123605 0.171145101282 0.0475403059115 0.299503927243 0.299503927243 0.128358825961
How is the weather there?,"The weather is nice here, and there?",0.13099463475 0.112009905076 0.124803962031 0.358811390838 0.273380107305
